Institution,Average net price-students awarded grant or scholarship aid  2020-21,Average net price-students awarded grant or scholarship aid  2019-20,Average net price-students awarded grant or scholarship aid  2018-19,State abbreviation,Sector of institution,Level of institution,Degree-granting status,Institution size category,Institution name,Longitude location of institution,Latitude location of institution,Total price for in-state students living on campus 2021-22,Total price for out-of-state students living on campus 2021-22,Total price for in-state students living off campus (not with family)  2021-22,Total price for out-of-state students living off campus (not with family)  2021-22,Total price for in-state students living off campus (with family)  2021-22,Total price for out-of-state students living off campus (with family)  2021-22,Total price for in-state students living on campus 2020-21,Total price for out-of-state students living on campus 2020-21,Total price for in-state students living off campus (not with family)  2020-21,Total price for out-of-state students living off campus (not with family)  2020-21,Total price for in-state students living off campus (with family)  2020-21,Total price for out-of-state students living off campus (with family)  2020-21,Average net price-students awarded grant or scholarship aid  2017-18,Average net price-students awarded grant or scholarship aid 2016-17,Total price for in-state students living on campus 2019-20,Total price for out-of-state students living on campus 2019-20,Total price for in-state students living off campus (not with family) 2019-20,Total price for out-of-state students living off campus (not with family) 2019-20,Total price for in-state students living off campus (with family) 2019-20,Total price for out-of-state students living off campus (with family) 2019-20,Average net price-students awarded grant or scholarship aid 2015-16,Total price for in-state students living on campus 2018-19,Total price for out-of-state students living on campus 2018-19,Total price for in-state students living off campus (not with family) 2018-19,Total price for out-of-state students living off campus (not with family) 2018-19,Total price for in-state students living off campus (with family) 2018-19,Total price for out-of-state students living off campus (with family) 2018-19,Total price for in-state students living on campus 2017-18,Total price for out-of-state students living on campus 2017-18,Total price for in-state students living off campus (not with family) 2017-18,Total price for out-of-state students living off campus (not with family) 2017-18,Total price for in-state students living off campus (with family) 2017-18,Total price for out-of-state students living off campus (with family) 2017-18,Total price for in-state students living on campus 2016-17,Total price for out-of-state students living on campus 2016-17,Total price for in-state students living off campus (not with family) 2016-17,Total price for out-of-state students living off campus (not with family) 2016-17,Total price for in-state students living off campus (with family) 2016-17,Total price for out-of-state students living off campus (with family) 2016-17,Books and supplies 2021-22,Books and supplies 2020-21,Books and supplies 2019-20,Books and supplies 2018-19,Books and supplies 2017-18,Books and supplies 2016-17,Books and supplies 2015-16,
Fullerton College,11191,8941,8198,CA,4,2,1,4,Fullerton College,-117.918255,33.875514,,,29243,35891,9294,15942,,,29243,35603,9294,15654,,,,,25734,30990,8387,13643,7001,,,18643,23515,7573,12445,,,18643,23515,7573,12445,,,18643,23515,7573,12445,2267,2267,1971,1917,1746,1746,1746,
Fulton-Montgomery Community College,8741,8252,7297,NY,4,2,1,2,Fulton-Montgomery Community College,-74.297492,42.983805,,,22148,22148,9818,9818,13918,13918,13918,13918,9818,9818,,,21600,26500,21600,26500,9570,14470,8681,22080,26680,22080,26680,9270,13870,20470,24920,20470,24920,9120,13570,20220,24420,20220,24420,8870,13070,900,900,900,900,900,900,900,
Future-Tech Institute,,,,FL,6,2,1,1,Future-Tech Institute,-80.251401,25.764600,,,24492,24492,22892,22892,,,24329,24329,23192,23192,5614,5553,,,27037,27037,25900,25900,,,,21018,21018,14310,14310,,,17321,17321,11429,11429,,,17929,17929,11368,11368,2429,2429,,400,400,400,400,
Gadsden State Community College,4890,4776,4960,AL,4,2,1,2,Gadsden State Community College,-85.991438,33.994001,12660,15612,12952,15904,8452,11404,12660,15852,12952,16144,8452,11644,,,11413,14557,12904,16048,8404,11548,4235,11265,14481,12756,15972,8256,11472,11025,13881,12516,15372,8016,10872,10688,13496,12181,14989,7681,10489,1600,1600,1600,1500,1500,1500,1500,
Galen Health Institutes-Austin Campus,,,,TX,3,1,1,1,Galen Health Institutes-Austin Campus,-97.690907,30.476575,,,30975,30975,21098,21098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,,,,,,,
Galveston College,6437,4076,4262,TX,1,1,1,2,Galveston College,-94.807686,29.284735,16253,18503,18454,20704,9330,11580,16215,18465,15680,17930,8968,11218,,,13958,15908,15134,17084,8650,10600,3751,13202,15152,14734,16684,8252,10202,11994,13944,13407,15357,6952,8902,11994,13944,13378,15328,6952,8902,1950,1938,1900,1840,910,910,910,
Garden City Community College,7694,6408,7256,KS,4,2,1,2,Garden City Community College,-100.848082,37.970151,15690,16260,14302,14872,8114,8684,15530,16100,14212,14782,8024,8594,,,15190,15760,14277,14847,7590,8160,7147,13866,14436,15010,15580,7458,8028,13802,14410,14378,14986,7196,7804,13610,14218,14186,14794,7004,7612,600,600,600,1100,1100,1100,1100,
Garrett College,5598,7210,7472,MD,4,2,1,1,Garrett College,-79.342923,39.560493,20644,22436,21684,23476,13184,14976,20308,22044,21348,23084,12848,14584,,,21726,23350,20688,22312,12688,14312,5739,21250,22650,20212,21612,12212,13612,20752,21872,19848,20968,11848,12968,19196,20316,19596,20716,11596,12716,1000,1000,1400,1400,1400,1400,1400,
Gaston College,9094,12942,8396,NC,4,2,1,2,Gaston College,-81.188520,35.312048,,,15782,21926,8602,14746,,,17971,24115,10791,16935,,,,,22243,28387,15133,21277,9688,,,14015,20159,13885,20029,,,16172,22316,15064,21208,,,16030,22176,14922,21068,1460,1460,1989,1326,1326,1326,1200,
Gateway Community and Technical College,8072,7873,8109,KY,4,2,1,2,Gateway Community and Technical College,-84.633478,38.960638,,,16222,26974,8714,19466,,,15664,26416,8514,19266,,,,,15273,25713,8298,18738,8968,,,15153,25305,8178,18330,,,14985,24705,8010,17730,,,14842,24202,7866,17226,1078,1026,1000,1000,1000,1000,1000,
Gateway Community College,7629,7435,6736,CT,4,2,1,3,Gateway Community College,-72.927682,41.303785,,,24194,33126,12459,21391,,,19304,28256,10024,18976,,,,,18412,27364,9582,18534,5413,,,17502,26270,9230,17998,,,17108,25660,9036,17588,,,16960,25296,8888,17224,1200,1350,1200,1200,1200,1200,1200,
GateWay Community College,10761,11064,10351,AZ,4,2,1,2,GateWay Community College,-111.997077,33.449686,,,22506,28290,14010,19794,,,21290,27074,12074,17858,,,,,20778,26562,11814,17598,7616,,,19622,25406,11090,16874,,,15781,21565,10001,15785,,,15550,21334,9826,15610,1464,1472,1464,1424,1390,1288,1280,
Gateway Technical College,7378,7755,7257,WI,4,2,1,3,Gateway Technical College,-87.846695,42.605677,,,18232,20347,10388,12503,,,18083,20167,10447,12531,,,,,17864,19912,10353,12401,8587,,,17530,19543,10123,12136,,,17203,19186,9945,11928,,,16826,18780,9672,11626,1939,1973,2015,1960,1938,1819,1742,
Gather 4 Him Christian College,,,,WA,5,2,1,1,Gather 4 Him Christian College,-119.161961,46.212057,,,15585,15585,12650,12650,,,15585,15585,12550,12550,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,375,300,250,200,,,
Gavilan College,8705,7027,6605,CA,4,2,1,2,Gavilan College,-121.569842,36.972627,,,22889,28937,7835,13883,,,22889,28937,7835,13883,,,,,22889,28937,7835,13883,7016,,,20552,26168,7394,13010,,,20552,25760,7394,12602,,,19607,24815,7241,12449,1971,1971,1971,1854,1854,1791,1746,
Genesee Community College,7412,6695,5991,NY,4,2,1,2,Genesee Community College,-78.137586,43.016584,18025,18625,18025,18625,9710,10310,17560,18160,17560,18160,9305,9905,,,16790,17390,16790,17390,8815,9415,5440,16410,17010,16410,17010,8650,9250,16075,16675,16075,16675,8525,9125,15960,16560,15960,16560,8435,9035,1475,1430,1390,1275,1255,1205,1170,
George C Wallace Community College-Dothan,1274,2699,2347,AL,4,2,1,2,George C Wallace Community College-Dothan,-85.465836,31.315274,,,16450,20440,7000,10990,,,16450,20440,7000,10990,,,,,11091,15021,8107,12037,3496,,,11030,14900,8047,11917,,,10730,14300,7747,11317,,,10670,14180,7687,11197,1200,1200,1900,1900,1900,1900,1900,
George C Wallace State Community College-Hanceville,7924,6107,7094,AL,4,2,1,3,George C Wallace State Community College-Hanceville,-86.781935,34.072439,17520,21210,24700,28390,12620,16310,15920,19910,19820,23810,11020,15010,,,15460,19390,17960,21890,10560,14490,4863,15100,18970,17900,21770,10500,14370,13886,16742,15686,18542,9286,12142,14540,18050,16340,19850,9940,13450,1600,1600,1600,1600,1400,1400,1400,
