Institution,Average net price-students awarded grant or scholarship aid  2020-21,Average net price-students awarded grant or scholarship aid  2019-20,Average net price-students awarded grant or scholarship aid  2018-19,State abbreviation,Sector of institution,Level of institution,Degree-granting status,Institution size category,Institution name,Longitude location of institution,Latitude location of institution,Total price for in-state students living on campus 2021-22,Total price for out-of-state students living on campus 2021-22,Total price for in-state students living off campus (not with family)  2021-22,Total price for out-of-state students living off campus (not with family)  2021-22,Total price for in-state students living off campus (with family)  2021-22,Total price for out-of-state students living off campus (with family)  2021-22,Total price for in-state students living on campus 2020-21,Total price for out-of-state students living on campus 2020-21,Total price for in-state students living off campus (not with family)  2020-21,Total price for out-of-state students living off campus (not with family)  2020-21,Total price for in-state students living off campus (with family)  2020-21,Total price for out-of-state students living off campus (with family)  2020-21,Average net price-students awarded grant or scholarship aid  2017-18,Average net price-students awarded grant or scholarship aid 2016-17,Total price for in-state students living on campus 2019-20,Total price for out-of-state students living on campus 2019-20,Total price for in-state students living off campus (not with family) 2019-20,Total price for out-of-state students living off campus (not with family) 2019-20,Total price for in-state students living off campus (with family) 2019-20,Total price for out-of-state students living off campus (with family) 2019-20,Average net price-students awarded grant or scholarship aid 2015-16,Total price for in-state students living on campus 2018-19,Total price for out-of-state students living on campus 2018-19,Total price for in-state students living off campus (not with family) 2018-19,Total price for out-of-state students living off campus (not with family) 2018-19,Total price for in-state students living off campus (with family) 2018-19,Total price for out-of-state students living off campus (with family) 2018-19,Total price for in-state students living on campus 2017-18,Total price for out-of-state students living on campus 2017-18,Total price for in-state students living off campus (not with family) 2017-18,Total price for out-of-state students living off campus (not with family) 2017-18,Total price for in-state students living off campus (with family) 2017-18,Total price for out-of-state students living off campus (with family) 2017-18,Total price for in-state students living on campus 2016-17,Total price for out-of-state students living on campus 2016-17,Total price for in-state students living off campus (not with family) 2016-17,Total price for out-of-state students living off campus (not with family) 2016-17,Total price for in-state students living off campus (with family) 2016-17,Total price for out-of-state students living off campus (with family) 2016-17,Books and supplies 2021-22,Books and supplies 2020-21,Books and supplies 2019-20,Books and supplies 2018-19,Books and supplies 2017-18,Books and supplies 2016-17,Books and supplies 2015-16,
Miami Dade College,4211,4998,4947,FL,1,1,1,5,Miami Dade College,-80.190856,25.777717,,,30052,36875,10120,16943,,,26679,33502,9377,16200,,,,,26678,33501,9376,16199,7675,,,26678,33501,9376,16199,,,26853,33676,10518,17341,,,26849,33676,10514,17341,1500,1500,1500,1500,1600,1600,1500,
Mid Michigan College,8421,7238,7484,MI,4,2,1,2,Mid Michigan College,-84.763715,43.969586,,,19458,19458,12810,12810,,,19004,19004,12524,12524,,,,,18710,18710,12376,12376,6746,,,18450,18450,12210,12210,,,17850,17850,11815,11815,,,18371,18371,12495,12495,1210,1190,1170,1148,1149,2004,1770,
Mid-America College of Funeral Service,,,,IN,2,1,1,1,Mid-America College of Funeral Service,-85.744696,38.312090,,,32170,32170,18960,18960,,,27910,27910,14700,14700,18888,13940,,,27110,27110,13900,13900,,,,27110,27110,13900,13900,,,27110,27110,13900,13900,,,26360,26360,13150,13150,0,0,0,0,0,0,0,
Mid-Atlantic Christian University,,,,NC,2,1,1,1,Mid-Atlantic Christian University,-76.217139,36.304673,32240,32240,33007,33007,24040,24040,32240,32240,33007,33007,22990,22990,16943,17707,30960,30960,32060,32060,22160,22160,,30450,30450,31550,31550,22100,22100,29230,29230,30330,30330,20880,20880,28350,28350,30850,30850,20200,20200,1200,1200,1200,1200,1200,1000,1200,
Mid-Plains Community College,6844,6852,7380,NE,4,2,1,2,Mid-Plains Community College,-100.748417,41.110429,14160,15060,14160,15060,7350,8250,13920,14790,13920,14790,7290,8160,,,13530,14370,13530,14370,7030,7870,6587,13040,13880,13040,13880,6640,7480,12950,13760,12950,13760,6550,7360,12700,13450,12700,13450,6400,7150,1600,1600,1600,1600,1600,1600,1200,
Mid-South Christian College,,,,TN,2,1,1,1,Mid-South Christian College,-89.911799,35.064172,20492,20492,29650,29650,17092,17092,17726,17726,26677,26677,14326,14326,15656,,17488,17488,25711,25711,13367,13367,,17289,17289,25343,25343,13258,13258,15693,15693,24168,24168,12293,12293,13089,13089,15789,15789,9689,9689,400,400,765,765,765,765,765,
Mid-State Technical College,9316,9017,8128,WI,4,2,1,2,Mid-State Technical College,-89.783785,44.391091,,,18047,19981,10203,12137,,,17999,19980,10363,12344,,,,,17985,20033,10473,12521,10575,,,17594,19607,10186,12199,,,17293,19276,10035,12018,,,17081,19036,9927,11882,1940,1974,2016,1960,1940,1820,1742,
Middlesex College,11738,8709,6207,NJ,4,2,1,3,Middlesex College,-74.366544,40.504728,,,29495,29495,11852,11852,,,30568,30568,19111,19111,,,,,25224,25224,14082,14082,7659,,,27108,27108,11475,11475,,,24769,24769,14302,14302,,,24663,24663,14196,14196,1460,1120,1410,1410,1390,1380,1700,
Middlesex Community College,5255,4700,5294,MA,4,2,1,3,Middlesex Community College,-71.274931,42.524328,,,19748,25820,8948,15020,,,19663,25735,9098,15170,,,,,19858,25930,9178,15250,4288,,,19970,25922,9290,15242,,,18742,23686,8072,13016,,,18570,23514,7900,12844,1100,1100,1100,1200,1290,1190,1150,
Middlesex Community College,3300,3708,4872,CT,4,2,1,2,Middlesex Community College,-72.611838,41.539516,,,22548,31500,10948,19900,,,17352,26304,7924,16876,,,,,17126,26078,7876,16828,5615,,,17034,25802,7784,16552,,,16926,25478,7676,16228,,,16618,24954,7418,15754,1500,1200,1200,1200,1200,1200,1200,
Midland College,4539,7420,5773,TX,1,1,1,3,Midland College,-102.106153,32.029646,13998,15258,24120,25380,8598,9858,13449,14709,23518,24778,8199,9459,,,13088,14348,23341,24601,8088,9348,8579,12702,13962,21316,22576,7802,9062,12696,13956,18846,20106,7796,9056,13865,15065,20398,21598,9065,10265,1816,1729,1712,1634,1561,1486,1416,
Midlands Technical College,6146,6107,5864,SC,4,2,1,3,Midlands Technical College,-81.115761,33.949325,,,20288,28184,12496,20392,,,19745,27641,12565,20461,,,,,19379,27275,12536,20432,6028,,,18811,26275,12093,19557,,,17884,24844,11492,18452,,,17473,24193,11275,17995,1660,1660,1640,1620,1590,1564,1698,
Mildred Elley School-Albany Campus,,,,NY,6,2,1,1,Mildred Elley School-Albany Campus,-73.788615,42.680833,,,28975,28975,20299,20299,,,26815,26815,19335,19335,19330,19680,,,26815,26815,19335,19335,,,,26008,26008,19232,19232,,,25359,25359,18583,18583,,,24279,24279,17503,17503,2250,2250,2250,2250,2250,2250,2250,
Mildred Elley-New York Campus,,,,NY,6,2,1,2,Mildred Elley-New York Campus,-74.014004,40.705781,,,30633,30633,21957,21957,,,28110,28110,20630,20630,17961,18126,,,28110,28110,20630,20630,,,,26333,26333,19557,19557,,,25373,25373,18597,18597,,,24173,24173,17397,17397,2400,2400,2400,2400,2400,2400,2400,
Miles College,,,,AL,2,1,1,2,Miles College,-86.908751,33.482442,23144,23144,26801,26801,15956,15956,23144,23144,26801,26801,15956,15956,15246,15837,22894,22894,26551,26551,15706,15706,,22418,22418,26169,26169,15324,15324,23080,23080,26831,26831,15986,15986,22614,22614,26082,26082,15732,15732,250,250,250,200,1200,1200,1200,
Miles Community College,8918,8329,8001,MT,4,2,1,1,Miles Community College,-105.826524,46.405260,16120,19870,16120,19870,8590,12340,15570,19170,15570,19170,8410,12010,,,15387,18837,15387,18837,8215,11665,7535,14800,18070,14800,18070,8050,11320,14665,17845,14665,17845,7915,11095,14470,17560,14470,17560,7720,10810,1100,1100,1100,1100,1100,1100,1100,
Milwaukee Area Technical College,8369,8161,8207,WI,4,2,1,4,Milwaukee Area Technical College,-87.920818,43.043590,19374,21489,19425,21540,11535,13650,,,18863,20947,11307,13391,,,,,18719,20767,11079,13127,6906,,,18238,20251,10831,12844,,,17817,19500,10213,11896,,,17529,19484,10029,11984,2580,2520,2520,2450,2000,1819,1740,
Milwaukee Institute of Art & Design,,,,WI,2,1,1,1,Milwaukee Institute of Art & Design,-87.907925,43.030917,51570,51570,51570,51570,42080,42080,51570,51570,51110,51110,42080,42080,24569,24850,50320,50320,50020,50020,40964,40964,,49130,49130,48370,48370,39830,39830,47902,47902,47222,47222,38972,38972,46830,46830,46230,46230,37980,37980,800,800,750,750,776,1040,740,
Mineral Area College,9775,8904,9051,MO,4,2,1,2,Mineral Area College,-90.481847,37.845199,16986,18546,21774,23334,13982,15542,16764,18324,20868,22428,13624,15184,,,16086,17646,20028,21588,13054,14614,8139,17928,19488,19420,20980,12768,14328,17020,18580,18260,19820,11932,13492,16444,17914,17709,19179,11332,12802,2000,2000,2000,2000,1600,1600,1600,
Minneapolis Community and Technical College,12314,12599,12145,MN,4,2,1,3,Minneapolis Community and Technical College,-93.284507,44.972679,,,24736,24736,12531,12531,,,23448,23448,12330,12330,,,,,23707,23707,12615,12615,13105,,,23524,23524,12466,12466,,,23524,23524,12466,12466,,,23476,23476,12419,12419,1000,1000,1400,1400,1400,1400,1400,
Minnesota State College Southeast,14965,12941,12837,MN,4,2,1,2,Minnesota State College Southeast,-91.618318,44.024554,,,24171,24171,15291,15291,,,23280,23280,14729,14729,,,,,20740,20740,13292,13292,13201,,,20682,20682,12952,12952,,,20684,20684,13236,13236,,,20644,20644,13056,13056,1000,1000,1000,1000,1000,1000,1000,
Minnesota State Community and Technical College,10119,10233,9813,MN,4,2,1,3,Minnesota State Community and Technical College,-96.097321,46.289194,17346,17346,17346,17346,10622,10622,17044,17044,17044,17044,10320,10320,,,17044,17044,17044,17044,10320,10320,10004,16819,16819,16819,16819,10095,10095,16819,16819,16819,16819,10095,10095,16822,16822,16822,16822,10098,10098,1960,1960,1960,1960,1960,1960,1960,
Minnesota West Community and Technical College,11356,10849,11244,MN,4,2,1,2,Minnesota West Community and Technical College,-95.561720,44.807550,18886,24536,18886,24536,13986,19636,18536,23836,18536,23836,13636,18936,,,18446,23746,18446,23746,13546,18846,9426,18292,23438,18292,23438,13392,18538,17192,22338,17192,22338,12292,17438,17140,22236,17140,22236,12240,17336,1200,1200,1200,1200,1200,1200,1200,
MiraCosta College,6946,5995,2856,CA,1,1,1,4,MiraCosta College,-117.302606,33.190483,,,23484,30852,7824,15192,,,28956,35916,6392,13352,,,,,23484,29844,7824,14184,5743,,,21544,26976,7620,13052,,,20548,26164,7384,13000,,,19584,24648,7200,12264,1972,1972,1972,1916,1856,1782,1764,
Mission College,6727,6036,6249,CA,4,2,1,3,Mission College,-121.980783,37.391935,,,23533,30901,8449,15817,,,23529,28785,8445,13701,,,,,21397,26485,7618,12706,10004,,,21397,26485,7618,12706,,,19630,24546,7264,12180,,,19086,24006,7233,12153,1971,1971,1917,1917,1791,1764,1764,
Mississippi Delta Community College,3257,2167,2409,MS,4,2,1,2,Mississippi Delta Community College,-90.502053,33.444906,10440,12640,9440,11640,6340,8540,9740,11940,9440,11640,6340,8540,,,9285,11485,9385,11585,6285,8485,3486,9150,10788,9330,10968,6230,7868,9110,10718,9330,10938,6230,7838,8730,10338,8950,10558,5850,7458,1400,1400,1400,1400,1400,1400,1400,
Mississippi Gulf Coast Community College,8096,7074,7433,MS,4,2,1,3,Mississippi Gulf Coast Community College,-89.142952,30.780784,13165,16465,16325,19625,10025,13325,12850,15950,16010,19110,9710,12810,,,12200,15300,19760,22860,9460,12560,7789,12120,15220,19680,22780,9380,12480,12120,15220,19980,23080,9680,12780,11322,14122,18422,21222,9422,12222,1075,960,960,960,960,860,860,
Missouri State University-West Plains,8123,8100,7663,MO,4,2,1,2,Missouri State University-West Plains,-91.857838,36.729574,15768,19848,20781,24861,10958,15038,15274,19294,19005,23025,10523,14543,,,14925,18945,18167,22187,10452,14472,7669,14320,18370,17514,21564,9598,13648,14314,18034,15950,19670,10040,13760,13603,17173,14936,18506,9234,12804,833,811,926,810,1156,1036,1012,
Mitchell College,,,,CT,2,1,1,1,Mitchell College,-72.095230,41.328013,53860,53860,53860,53860,39025,39025,52878,52878,52878,52878,38322,38322,28002,25166,51450,51450,51450,51450,37300,37300,,50600,50600,50600,50600,36950,36950,49592,49592,49592,49592,36192,36192,48480,48480,48480,48480,35330,35330,1200,1200,1200,1700,1200,1200,1700,
Mitchell Community College,7914,9569,7807,NC,4,2,1,2,Mitchell Community College,-80.894083,35.782814,,,21747,27891,10063,16207,,,21595,27739,9947,16091,,,,,21423,27567,9889,16033,7385,,,21423,27567,9889,16033,,,20603,26747,10137,16281,,,20113,26257,9207,15351,1690,1590,1590,1590,1590,1400,1400,
Mitchell Technical College,12190,11274,11382,SD,4,2,1,2,Mitchell Technical College,-98.002505,43.688663,,,16774,16774,10674,10674,,,16609,16609,10509,10509,,,,,16304,16304,10204,10204,11003,,,16372,16372,10272,10272,,,15992,15992,9642,9642,,,15832,15832,9732,9732,700,700,810,850,850,850,950,
Moberly Area Community College,6955,6743,6744,MO,4,2,1,2,Moberly Area Community College,-92.455064,39.418607,15066,16776,18112,19822,13374,15084,14354,16064,16826,18536,12186,13896,,,14204,15884,16676,18356,12036,13716,6771,14486,16106,16526,18146,11886,13506,14276,15866,16316,17906,11676,13266,13574,15164,16076,17666,11436,13026,1500,1500,1500,1500,1500,1500,1500,
Modesto Junior College,14421,13250,12131,CA,1,1,1,4,Modesto Junior College,-121.009792,37.651056,14719,22087,24406,31774,7152,14520,,,23612,29880,6474,12742,,,,,23434,29794,7918,14278,10068,,,21038,27230,7520,13712,,,18973,24589,7264,12880,,,18973,24469,7258,12754,1126,1080,1971,1916,1746,1746,1746,
Mohave Community College,6866,7105,8826,AZ,4,2,1,2,Mohave Community College,-114.029838,35.270996,,,14576,19448,6616,11488,,,14492,19352,6552,11412,,,,,15402,20262,7402,12262,7111,,,15777,20637,7468,12328,,,15564,20424,7434,12294,,,15471,20331,7516,12376,720,720,810,810,810,810,810,
Mohawk Valley Community College,8056,7836,7442,NY,4,2,1,3,Mohawk Valley Community College,-75.219367,43.076765,20864,23162,20746,23044,10631,12929,20468,22766,20468,22766,10481,12779,,,20205,22503,20205,22503,10365,12663,6709,19477,23847,19572,23942,10058,14428,18443,22693,18553,22803,10058,14308,17965,22049,16330,20414,9855,13939,1616,1616,1570,1570,1570,1565,1545,
Monmouth College,,,,IL,2,1,1,1,Monmouth College,-90.637310,40.914824,54880,54880,51990,51990,44990,44990,52710,52710,49380,49380,43580,43580,17812,18467,51270,51270,47440,47440,41940,41940,,49590,49590,46124,46124,40624,40624,47970,47970,44850,44850,39350,39350,46550,46550,43750,43750,38250,38250,900,,1200,1200,1200,1200,1200,
Monroe Community College,7150,7197,6968,NY,4,2,1,3,Monroe Community College,-77.610136,43.101036,18352,23058,18352,23058,9562,14268,18352,23058,18352,23058,9562,14268,,,18216,22596,18216,22596,9236,13616,6714,18016,22396,18016,22396,9236,13616,17589,21869,17589,21869,9039,13319,17359,21459,17359,21459,8859,12959,1200,1200,1200,1200,1200,1200,1200,
Monroe County Community College,4963,4913,4220,MI,4,2,1,2,Monroe County Community College,-83.470274,41.916170,,,17993,18698,9641,10346,,,16115,16691,8132,8708,,,,,17537,18212,9545,10220,3845,,,17351,18011,9395,10055,,,17129,17774,9641,10286,,,16897,17527,9508,10138,1488,1488,936,936,1272,1296,1176,
Montana Bible College,,,,MT,2,1,1,1,Montana Bible College,-111.066301,45.654720,15925,15925,17725,17725,11125,11125,15240,15240,16190,16190,10690,10690,11982,12650,14786,14786,15636,15636,10236,10236,,,,,,,,13790,13790,14340,14340,9140,9140,13490,13490,14240,14240,9040,9040,300,300,300,300,300,275,,
Montcalm Community College,6430,8353,6619,MI,4,2,1,2,Montcalm Community College,-85.100181,43.253191,,,22730,26900,11481,15651,,,22156,26236,11257,15337,,,,,21976,25936,11077,15037,6773,,,21609,25479,10913,14783,,,21342,25212,10866,14736,,,20690,24470,10459,14239,1200,1200,1200,1200,1200,996,996,
Montefiore School of Nursing,,,,NY,5,2,1,1,Montefiore School of Nursing,-73.840582,40.912133,,,37330,37330,18330,18330,,,36373,36373,17373,17373,18953,,,,36604,36604,17604,17604,,,,26076,26076,17076,17076,,,,,,,,,,,,,2132,2129,1806,1300,1500,1500,1500,
Monterey Peninsula College,12007,13223,12022,CA,4,2,1,3,Monterey Peninsula College,-121.884931,36.590558,,,36233,43193,6848,13808,,,32277,39237,6716,13676,,,,,30264,36624,8052,14412,6081,,,29122,35314,7639,13831,,,24605,30221,7444,13060,,,20902,25966,7204,12268,1125,1080,1971,1917,1856,1710,1764,
Montgomery College,7560,8582,9661,MD,4,2,1,4,Montgomery College,-77.159290,39.098656,,,31270,35050,16406,20186,,,31086,34866,16364,20144,,,,,30696,34476,16276,20056,7531,,,30186,33822,15933,19569,,,29106,32598,15168,18660,,,28220,31640,14790,18210,1792,1792,1792,1820,1462,1378,1378,
Montgomery Community College,7297,12447,6615,NC,4,2,1,1,Montgomery Community College,-79.870005,35.367107,,,19953,26097,11439,17583,,,15600,21744,9214,15358,,,,,19952,26096,11438,17582,8045,,,15600,21744,9214,15358,,,15600,21744,9214,15358,,,15600,21744,9214,15358,2702,2027,2702,2027,2027,2027,2027,
Montgomery County Community College,7093,7810,8055,PA,4,2,1,3,Montgomery County Community College,-75.276093,40.175609,,,21840,26460,16005,20625,,,21840,26460,16005,20625,,,18480,23100,21840,26460,16005,20625,7904,18480,23100,21840,26460,16005,20625,,,21840,26460,16005,20625,,,21720,26340,15885,20505,1300,1300,1300,1300,1300,1300,1300,
Montserrat College of Art,,,,MA,2,1,1,1,Montserrat College of Art,-70.876131,42.550212,56350,56350,55350,55350,42250,42250,54800,54800,53800,53800,41000,41000,30401,28777,52550,52550,52550,52550,40050,40050,,49000,49000,49000,49000,37100,37100,47100,47100,47100,47100,37100,37100,45650,45650,44400,44400,35400,35400,1800,1700,1700,1700,1600,1600,1600,
Moorpark College,4856,4703,4336,CA,4,2,1,4,Moorpark College,-118.834528,34.301146,,,23700,30448,6641,13389,,,23579,29583,8063,14067,,,,,23579,29583,8063,14067,4223,,,19829,25491,7463,13125,,,19829,25491,7463,13125,,,19829,25491,7463,13125,1080,1971,1971,1971,1791,1791,1764,
Moraine Park Technical College,9373,9072,8489,WI,4,2,1,2,Moraine Park Technical College,-88.417656,43.785224,,,18195,20310,10351,12466,,,17967,19943,10331,12307,,,,,17801,19246,10266,11711,9173,,,17562,19536,10155,12129,,,17473,19428,10215,12170,,,17097,19052,9943,11898,1939,1973,2015,1960,1939,1819,1742,
Moraine Valley Community College,1831,1850,1933,IL,4,2,1,4,Moraine Valley Community College,-87.836915,41.694613,,,22740,24036,13464,14760,,,22535,23831,13371,14667,,,,,23978,25568,14950,16540,4848,,,23528,25088,14658,16218,,,23126,24656,14422,15952,,,23057,24527,14416,15886,1488,1488,1464,1440,1392,1608,1608,
Morehouse College,,,,GA,2,1,1,2,Morehouse College,-84.414917,33.745982,49700,49700,49700,49700,35428,35428,49700,49700,49700,49700,35428,35428,38878,30566,48500,48500,48500,48500,34459,34459,,48500,48500,48500,48500,35062,35062,48723,48723,48723,48723,32766,32766,47952,47952,47952,47952,32230,32230,2000,2000,2053,2088,2088,2088,2088,
Moreno Valley College,4899,7958,6858,CA,4,2,1,3,Moreno Valley College,-117.202710,33.887440,,,26406,35106,6822,15522,,,25500,33450,11280,19230,,,,,26036,33986,8666,16616,8043,,,24398,32138,7704,15444,,,24206,31220,7654,14668,,,23026,29356,7494,13824,1126,1080,1972,1918,1854,1792,1764,
Morgan Community College,9973,7402,8512,CO,1,1,1,2,Morgan Community College,-103.771822,40.258792,,,23346,34768,11754,23176,,,23344,34766,11752,23174,,,,,23142,34230,11190,22278,6822,,,22602,33690,10902,21990,,,21299,32063,10814,21578,,,20180,30374,10334,20528,1800,1800,1800,1800,1800,1800,1800,
Morris College,,,,SC,2,1,1,1,Morris College,-80.346155,33.938574,29166,29166,29420,29420,22250,22250,28552,28552,28800,28800,21980,21980,16702,16472,27170,27170,27626,27626,20926,20926,,25995,25995,26161,26161,20061,20061,25370,25370,25733,25733,19633,19633,24500,24500,25100,25100,19145,19145,3000,3000,3000,3000,3000,3000,2800,
Morrison Institute of Technology,,,,IL,5,2,1,1,Morrison Institute of Technology,-89.965963,41.797100,28690,28690,33040,33040,22722,22722,28727,28727,32130,32130,22904,22904,19802,17509,29412,29412,31100,31100,22628,22628,,28062,28062,29750,29750,21278,21278,28575,28575,27172,27172,21787,21787,27266,27266,21366,21366,17766,17766,1150,1000,1100,1100,975,975,1050,
Morton College,6382,6517,4475,IL,4,2,1,2,Morton College,-87.762306,41.824303,,,28676,30724,16676,18724,,,28052,30100,16052,18100,,,,,28094,30142,16094,18142,4179,,,25268,27316,13268,15316,,,25012,27060,13012,15060,,,24788,26836,12788,14836,2400,2400,2400,1600,1600,1600,1600,
Motlow State Community College,10272,8157,8124,TN,4,2,1,3,Motlow State Community College,-86.299184,35.365903,,,17002,29818,17002,29818,,,15702,28278,15702,28278,,,,,14010,26586,14010,26586,7611,,,13695,25983,13695,25983,,,13269,25245,13269,25245,,,13051,20971,14201,22121,1124,1460,1000,1000,758,1200,1400,
Mott Community College,6083,6765,5652,MI,4,2,1,3,Mott Community College,-83.672430,43.019941,,,20424,22314,9354,11244,,,20001,21873,9264,11136,,,,,18548,20420,9549,11421,5724,,,18476,20346,9511,11381,,,17722,19592,9320,11190,,,18240,20110,9388,11258,1066,1028,1028,1028,1006,1006,998,
Mount Wachusett Community College,8309,8096,8293,MA,4,2,1,2,Mount Wachusett Community College,-71.984148,42.593142,,,20448,25368,11368,16288,,,19398,24318,11098,16018,,,,,19398,24318,11098,16018,7638,,,18378,23298,10978,15898,,,17728,22648,10328,15248,,,17488,22408,10088,15008,1460,1400,1400,1400,1400,1200,1200,
Mountain Empire Community College,8803,5805,6427,VA,4,2,1,2,Mountain Empire Community College,-82.758277,36.854421,,,14385,20388,9435,15438,,,14385,20388,9435,15438,,,,,14110,20113,11510,17513,6460,,,14110,20038,11510,17438,,,13998,19926,11398,17326,,,13878,19776,11278,17176,1500,1500,1500,1500,1500,1500,1500,
Mountain State College,,,,WV,6,2,1,1,Mountain State College,-81.548845,39.273787,,,19560,19560,14560,14560,,,19110,19110,14110,14110,,,,,19110,19110,14110,14110,,,,20612,20612,18002,18002,,,21499,21499,18889,18889,,,21499,21499,18889,18889,1630,1630,1630,2722,3609,3609,3054,
Mountwest Community and Technical College,8540,8178,7717,WV,4,2,1,2,Mountwest Community and Technical College,-82.458186,38.392635,,,17667,24663,9687,16683,,,16589,23237,9295,15943,,,,,15894,22104,8869,15079,6891,,,15509,21713,8679,14883,,,15047,20831,8304,14088,,,14915,20699,8364,14148,1468,1448,1415,1386,1372,1357,1348,
Mt Hood Community College,7601,6472,7128,OR,4,2,1,3,Mt Hood Community College,-122.396972,45.514862,,,20007,24363,9228,13584,,,20280,24636,9501,13857,,,,,19664,23912,9299,13547,6481,,,17546,22451,9626,14531,,,17231,22136,9311,14216,,,17418,22503,9498,14583,1461,1461,1440,1560,1560,1560,1560,
Mt San Antonio College,5774,5297,4387,CA,4,2,1,5,Mt San Antonio College,-117.846629,34.047764,,,24491,33171,6320,15000,,,23652,32892,6593,15833,,,,,21716,29976,6488,14748,4555,,,20276,28340,6353,14417,,,19644,27036,6216,13608,,,18547,25858,6316,13627,1125,1080,1971,1917,1854,1791,1764,
Mt San Jacinto Community College District,7704,7807,7742,CA,4,2,1,4,Mt San Jacinto Community College District,-116.971169,33.806748,,,23825,33695,8025,17895,,,21792,31662,7799,17669,,,,,21792,30642,7799,16649,6783,,,21772,30412,7779,16419,,,20772,28332,7614,15174,,,19585,26455,7636,14506,1919,1919,1971,1917,1854,1791,1746,
Murray State College,10404,13159,11452,OK,4,2,1,2,Murray State College,-96.677906,34.222949,19205,23405,22423,26623,14355,18555,17761,22895,21901,27035,13481,18615,,,18690,24840,22300,28450,14140,20290,11521,17384,23534,17740,23890,11490,17640,16976,22716,22050,27790,10376,16116,16764,22224,21638,27098,9964,15424,2400,2400,2400,1474,1726,1726,1726,
Muskegon Community College,5087,4641,4477,MI,4,2,1,2,Muskegon Community College,-86.196384,43.250329,,,20554,24194,14230,17870,,,20554,24194,14230,17870,,,,,19744,23264,13606,17126,3997,,,19156,22556,13246,16646,,,16600,19720,12406,15526,,,16280,19280,12086,15086,1100,1100,1100,1100,1100,1100,1100,
Myotherapy Institute,,,,NE,6,2,1,1,Myotherapy Institute,-96.607025,40.811958,,,32032,32032,22060,22060,,,32392,32392,22420,22420,23886,20295,,,32392,32392,22420,22420,,,,32392,32392,22420,22420,,,32392,32392,22420,22420,,,32442,32442,22470,22470,750,750,750,750,750,750,750,
Napa Valley College,18440,17455,14726,CA,4,2,1,2,Napa Valley College,-122.274381,38.274081,,,24289,31873,6550,14134,,,24333,30693,7278,13638,,,,,23471,29831,7811,14171,13067,,,21086,26702,7424,13040,,,20528,26144,7370,12986,,,19585,24727,7217,12359,1125,1970,1971,1917,1854,1791,1764,
Nash Community College,6628,6321,5395,NC,4,2,1,2,Nash Community College,-77.898348,35.976823,,,15834,21834,8634,14634,,,15666,21810,8466,14610,,,,,15032,21176,8032,14176,6988,,,14832,20976,7832,13976,,,14832,20976,7832,13976,,,14832,20976,7832,13976,2000,2000,1600,1400,1400,1400,1400,
Nashua Community College,12851,13444,11946,NH,4,2,1,2,Nashua Community College,-71.523462,42.794576,,,29562,37812,12830,21080,,,28926,37176,12896,21146,,,,,28156,36406,12918,21168,11400,,,28620,37420,13239,22039,,,27478,36054,13051,21627,,,26325,34485,12429,20589,1400,1400,1400,1400,1400,1400,1400,
Nashville State Community College,6348,6370,7168,TN,4,2,1,3,Nashville State Community College,-86.857342,36.134857,,,20424,33240,8337,21153,,,20375,32951,8486,21062,,,,,20375,32951,8486,21062,5530,,,20272,32560,8383,20671,,,20176,32152,8257,20233,,,19496,31160,8191,19855,1300,1512,1512,1512,1512,1512,1512,
Nassau Community College,6730,4921,4377,NY,4,2,1,4,Nassau Community College,-73.595286,40.728872,,,26450,32250,11680,17480,,,26070,31870,11500,17300,,,,,25870,31470,11300,16900,4097,,,25410,30760,10810,16160,,,24782,29884,10212,15314,,,24398,29266,9828,14696,1950,1950,1950,1800,1800,1800,1650,
National American University-Ellsworth AFB Extension,,,,SD,3,1,1,1,National American University-Ellsworth AFB Extension,-103.079296,44.140362,,,19842,19842,7629,7629,,,15033,15033,7635,7635,,,,,14796,14796,7587,7587,,,,14841,14841,7677,7677,,,14880,14880,7698,7698,,,14766,14766,7728,7728,0,1350,1350,1350,1350,1350,1350,
National American University-Kings Bay,,,,GA,3,1,1,1,National American University-Kings Bay,-81.567371,30.809739,,,19842,19842,7629,7629,,,14844,14844,7635,7635,,,,,14796,14796,7587,7587,,,,,,,,,,,,,,,,,,,,0,1350,1350,,,,,
National Park College,8524,9428,9596,AR,4,2,1,2,National Park College,-93.119248,34.512687,15692,16922,20600,21830,8846,10076,15692,16922,20600,21830,8846,10076,,,15692,16922,20600,21830,8846,10076,7082,,,19506,20706,8000,9200,,,18160,19330,7494,8664,,,17711,18791,7296,8376,1500,1500,1500,1500,1500,1600,1600,
Naugatuck Valley Community College,7087,6965,6525,CT,4,2,1,2,Naugatuck Valley Community College,-73.072963,41.549749,,,24516,33468,11116,20068,,,18684,27636,10046,18998,,,,,18684,27636,10046,18998,5886,,,18592,27360,9954,18722,,,18484,27036,9846,18398,,,18376,26712,9738,18074,1200,1200,1200,1200,1200,1200,1200,
Navarro College,11056,11298,10994,TX,4,2,1,3,Navarro College,-96.498731,32.076061,20536,22396,20536,22396,13514,15374,20459,22319,20459,22319,13470,15330,,,20146,21916,20146,21916,13270,15040,10509,19654,21304,19654,21304,12778,14428,19135,20665,19135,20665,12447,13977,18982,20512,18982,20512,12361,13891,1680,1672,1645,1645,1600,1584,1581,
